worker_id,worker_name,worker_profession,worker_experience,worker_rating,worker_number,worker_address,Latitude,Longitude
BD-0001,Deepak Verma,Glazier,3.0,4.9,9447241083,"Barra 1, Kanpur",26.465047,80.296874
BD-0002,Gaurav Tripathi,General Contractor,9.0,4.6,9396881365,"Barra 4, Kanpur",26.489003,80.275529
BD-0003,Gaurav Gupta,Painter,16.0,4.7,9797752665,"Panki, Kanpur",26.500186,80.357652
BD-0004,Prakash Tiwari,Handyman,5.0,4.8,9563114076,"Barra 6, Kanpur",26.481774,80.411769
BD-0005,Amit Maurya,Carpenter,10.0,4.2,9050078706,"Sarvodaya Nagar, Kanpur",26.494856,80.322476
BD-0006,Ravi Yadav,Mason,3.0,4.9,9599714802,"Juhi, Kanpur",26.485756,80.362808
BD-0007,Nikhil Khan,Welder,8.0,3.8,9054265581,"Ashok Nagar, Kanpur",26.414507,80.32261
BD-0008,Manoj Tripathi,Construction Laborer,21.0,4.9,9246920696,"Becon Ganj, Kanpur",26.432932,80.399893
BD-0009,Vikas Mishra,Handyman,4.0,4.3,9992544539,"Jajmau, Kanpur",26.443769,80.405714
BD-0010,Salman Sharma,Painter,3.0,4.6,9749837516,"Lajpat Nagar, Kanpur",26.414258,80.278375
BD-0011,Ravi Verma,Civil Engineer,22.0,3.8,9775920979,"Ganga Barrage, Kanpur",26.46007,80.406968
BD-0012,Manoj Pal,Flooring Installer,15.0,4.2,9351235921,"Nawabganj, Kanpur",26.457389,80.281735
BD-0013,Ajay Gupta,Drywaller,9.0,3.7,9422529346,"Chunni Ganj, Kanpur",26.494073,80.291067
BD-0014,Vikas Singh,Architect,4.0,3.9,9559394694,"Shastri Nagar, Kanpur",26.473068,80.383895
BD-0015,Salman Tripathi,Carpenter,19.0,4.5,9289505914,"Sarvodaya Nagar, Kanpur",26.4798,80.410168
BD-0016,Salman Yadav,Roofer,4.0,4.9,9925298718,"Becon Ganj, Kanpur",26.383466,80.408013
